Against Malaria Foundation,Global Health and Development,EA Funds,Program Delivery,"59,963,425.53","7,956,781.53"
Centre for Effective Altruism,EA Infrastructure,EA Funds,Community,"22,059,620.85","2,799,056.85"
SCI Foundation,Global Health and Development,EA Funds,Program Delivery,"28,204,138.93","3,204,138.93"
Machine Intelligence Research Institute,Long-Term Future,EA Funds,Research,"17,517,890.59","2,082,646.59"
"80,000 Hours",EA Infrastructure,EA Funds,Community,"13,344,574.28","2,324,219.28"
Oxfam,Global Health and Development,GWWC Reported Donations,Program Delivery,"1,450,352.37","1,450,352.37"
MAPS,,GWWC Reported Donations,,"1,000,716.38","1,000,716.38"
Donor Advised Fund,,GWWC Reported Donations,,"926,459.43","926,459.43"
Animal Charity Evaluators,Animal Welfare,EA Funds,Evaluator,"1,883,350.01","178,350.01"
Good Food Institute,Animal Welfare,EA Funds,Program Delivery,"6,828,025.29","318,025.29"
GiveDirectly,Global Health and Development,EA Funds,Program Delivery,"59,673,088.86","2,423,088.86"
Evidence Action (Dispensers for Safe Water),Global Health and Development,EA Funds,Program Delivery,"70,038,467.31","393,609.31"
Ought,Potential Risks from Advanced Artificial Intelligence,EA Funds (Grant Recipient),,"4,028,577.00","850,244.00"
GiveWell (Maximum Impact Fund),Global Health and Development,EA Funds,Program Delivery,"6,976,662.31","1,949,149.31"
Miscellaneous / Various Charities,,GWWC Reported Donations,,"724,234.71","724,234.71"
Johns Hopkins Center For Health Security,Long-Term Future,EA Funds,Research,"40,528,651.56","255,051.56"
Medecins Sans Frontières (Doctors Without Borders),Global Health and Development,GWWC Reported Donations,Program Delivery,"588,337.81","588,337.81"
Malaria Consortium (SMC only),Global Health and Development,EA Funds,Program Delivery,"93,452,490.09","26,490.09"
RESULTS,,GWWC Reported Donations,,"560,864.09","560,864.09"
Rethink Priorities,EA Infrastructure,EA Funds,Research,"1,866,545.95","6,345.95"
Innovations for Poverty Action,Global Health and Development,EA Funds,Research,"2,497,611.31","147,611.31"
Global Priorities Institute,Other areas,EA Funds (Grant Recipient),,"6,964,414.08","538,730.08"
Giving What We Can,EA Infrastructure,GWWC Reported Donations,Regranting,"531,909.01","531,909.01"
Development Media International,Global Health and Development,EA Funds,Program Delivery,"1,088,885.35","38,885.35"
Project Healthy Children,Global Health and Development,EA Funds,Program Delivery,"983,957.87","433,957.87"
Charity Science (Charity Science Health),Global Health and Development,EA Funds,Program Delivery,"1,064,044.50","227,076.50"
Sightsavers (deworming only),Global Health and Development,EA Funds,Program Delivery,"17,867,059.59","6,959.59"
Other,,GWWC Reported Donations,,"529,639.83","529,639.83"
Iodine Global Network,Global Health and Development,EA Funds,Program Delivery,"1,061,339.88","11,339.88"
Fidelity Charitable,,GWWC Reported Donations,,"474,191.00","474,191.00"
The Humane League,Animal Welfare,Animal Charity Evaluators Top Charities,Program Delivery,"17,728,309.14","351,309.14"
Personal DAF,,GWWC Reported Donations,,"337,671.74","337,671.74"
Animal Charity Evaluators (Current recommended charities),Animal Welfare,Animal Charity Evaluators Top Charities,Regranting,"310,367.29","310,367.29"
The Life You Can Save,,GWWC Reported Donations,,"314,571.13","314,571.13"
Helen Keller International (VAS program),Global Health and Development,EA Funds,Program Delivery,"23,412,803.54","3,803.54"
Stiftung für Effektiven Altruismus,Animal Welfare,EA Funds (Grant Recipient),,"335,431.88","305,431.88"
Charity Entrepreneurship (Incubated Charities),EA Infrastructure,EA Funds,Regranting,"704,041.95","22,041.95"
Nuclear Threat Initiative (Biosecurity Program),Long-Term Future,EA Funds,Research,"19,439,738.35","1,119.35"
Cool Earth,Global Health and Development,GWWC Reported Donations,Program Delivery,"280,653.20","280,653.20"
Proveg,,GWWC Reported Donations,,"251,391.89","251,391.89"
Mercy for Animals (Corporate Campaigns),Animal Welfare,Open Philanthropy (Grant Recipient),,"10,160,897.77","223,647.77"
Cambridge Centre for the Study of Existential Risk,Long-Term Future,"80,000 Hours",Research,"223,255.39","223,255.39"
